"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"news:FORGERY_NEWS","Theft At Ministry Of Admission!","入国管理省に強盗！"
"news:FORGERY_NEWS","Limited Effects - Few Items Stolen","影響は軽微 - 盗難被害は数点"
"news:SECRET_SOCIETY","The History of Arstotzka","アルストツカの歴史"
"news:SECRET_SOCIETY","In Pictures and Words - Mostly Words","写真と文章で綴る - 徒然に"
"news:CRIMINAL_ACTIVITY","A Criminal's Safe Haven","犯罪者の温床化"
"news:CRIMINAL_ACTIVITY","Arstotzka Earns Dubious Reputation","アルストツカに不信の声"
"news:LOSING_GUARDS","Ministries Fight Over Staff","各省庁で人員奪い合い"
"news:LOSING_GUARDS","Qualified Guards, Soldiers In Demand","有能な護衛・士官ら急募"
"news:LOSING_GUARDS","Consolidation, Reassignment At Border","国境地域で統合・配置転換実施"
"news:LOSING_GUARDS","Still Safe With Smaller Detail?","縮小体制でも平和の保持可能か"
"news:RUNNER_AFTER_TRANQ","Grestin Incident Highlights Security Risks","グレスティンで事件 警備体制の甘さ露呈"
"news:RUNNER_AFTER_TRANQ","Further Breaches Predicted","さらなる侵害行為も予測"
"news:BIKE_ATTACK","Daring Bike Attack At Grestin Checkpoint!","グレスティン検問所で大胆なバイク襲撃！"
"news:BIKE_ATTACK","Extremists Growing Bolder - Grestin Like Magnet","グレスティンに集う過激派か"
"news:BORDER_TARGETED","Can The Wall Hold?","壁は保たれるか？"
"news:BORDER_TARGETED","Border Safety Continually Questioned","国境地域の安全につのる不信の声"
"news:BIKERUNNER_NEWS","Coordinated Border Breach!","計画的な国境突破事件！"
"news:BIKERUNNER_NEWS","Unknown Assailants Swamp Security","謎の襲撃者ら警備圧倒"
"news:NOSY_JOURNALIST_APPROVED","Arstotzka's Frail Border","アルストツカ 脆弱な国境管理"
"news:NOSY_JOURNALIST_APPROVED","United Fed Reporter Exposes Lax Protocols","合衆連邦の記者が緩い規制を暴露"
"news:NOSY_JOURNALIST_DENIED","Arstotzka's Iron Border","アルストツカ 鉄壁の国境線"
"news:NOSY_JOURNALIST_DENIED","Int. Media Reveals Entry Visa Bias","国際情報組織、入国ビザの偏りあばく"
"news:IDSUPPLEMENT_INTRO","Another Bomber Slips Through!","新たな爆弾犯 警備をすり抜ける！"
"news:IDSUPPLEMENT_INTRO","Immigrant Screening Falls Short","移民に対する不十分な検査体制"
"news:IDSUPPLEMENT_INTRO","M.O.A. Gets New Director","入管省 新長官を迎える"
"news:IDSUPPLEMENT_INTRO","Stricter Protocols Promised at Border","国境でのより厳重な規制を約束する"
"news:WHISTLEBLOWER_SETUP0","Antegria Domestic Spying Exposed!","アンテグリア 自国内の工作行為が漏洩！"
"news:WHISTLEBLOWER_SETUP0","Whistleblower On The Run","告発者は逃亡中"
"news:WHISTLEBLOWER_SETUP1","Antegrian Whistleblower Denied Asylum In Republia","アンテグリア告発者 リパブリアへ亡命ならず"
"news:WHISTLEBLOWER_SETUP2","Antegrian Whistleblower Turned Away From United Fed","アンテグリア告発者 合衆連邦に拒否"
"news:WHISTLEBLOWER_COMING","Antegrian Whistleblower Accepted By Arstotzka","アンテグリア告発者アルストツカ受入れ"
"news:WHISTLEBLOWER_COMING","Move Risks Angering Neighbors","怒る隣国との関係悪化を懸念"
"news:WHISTLEBLOWER_IN","Antegrian Whistleblower Arrives - Disappears Immediately","アンテグリア告発者 入国 - 直後に失踪"
"news:WHISTLEBLOWER_OUT","Antegrian Whistleblower Turned Away - Whereabouts Unknown","アンテグリア告発者 入国拒否 - 行方不明に"
"news:IMPOR_UNHAPPY","Impor Protests Unbalanced Trade Restrictions","インポール 不当な貿易規制に不満表明"
"news:IMPOR_UNHAPPY","Claims Arstotzka Unfairly Taxes Imporian Goods","輸入品に対するアルストツカの関税は不公正"
"news:IMPOR_SANCTIONS_START","Impor Begins Trade Sanctions!","インポール 貿易制裁を開始！"
"news:IMPOR_SANCTIONS_START","Immediately Restricts All Imports From Arstotzka","アルストツカ輸入品を全面規制"
"news:IMPOR_SANCTIONS_END","Impor Sanctions End!","インポール制裁処置 解除！"
"news:IMPOR_SANCTIONS_END","Over So Fast? What Happened?","なぜ急に？ 何があったのか？"
"news:SURGERY_SETUP","Breakthrough Spinal Surgery Perfected","大躍進 脊椎手術に成功"
"news:SURGERY_SETUP","Only Possible With Arstotzkan Expertise","アルストツカの専門技術でのみ可能"
"news:VIRUS_PRIMER","Polio Resurfaces In United Fed","ポリオウィルス 合衆連邦で再流行"
"news:VIRUS_PRIMER","Isolated Diagnosis Or Something More?","隔離診療又はそれ以上必要か"
"news:VIRUS_BAN_UNITED_FED","Full-blown Epidemic Threatens United Fed!","合衆連邦 伝染病まん延の危機！"
"news:VIRUS_BAN_UNITED_FED","Previously Under Control, Polio Back With Vengeance","一時は抑止されたポリオウィルス逆襲"
"news:VIRUS_REQUIRE_CERT","Ministry of Health Acts To Protect Citizens","衛生省 国民の安全確保に尽力"
"news:VIRUS_REQUIRE_CERT","New Policy, Safeguards At Borders","新政策、国境にて保障措置"
"news:SERIAL_KILLER","Serial Child Killer Escapes United Fed Prison!","連続児童殺人犯 合衆連邦から脱獄逃亡！"
"news:SERIAL_KILLER","Simon Wens: An Arstotzkan Native - Returning Home?","Simon Wens：アルストツカ出身 - 母国へ帰還か？"
"news:SERIAL_KILLER_MURDERED","Bloody Scene In Gennistora!","ジェニストラで血の惨事！"
"news:SERIAL_KILLER_MURDERED","Simon Wens Found Dead In Confusing Mess","Simon Wens氏、遺体で発見 混乱生む"
"news:EZIC_ATTACK0","Grestin Metro Halted","グレスティンで地下鉄運休"
"news:EZIC_ATTACK0","Tunnel Cave-in, Hints At Sabotage","トンネル崩壊、破壊活動を示唆"
"news:EZIC_ATTACK1_GIFT","Gov't Headquarters In Paradizna Evacuated!","パラディズナの政府本部から職員退避！"
"news:EZIC_ATTACK1_GIFT","Strange Gas Detected - Staff Safe, Records Missing","異常ガスを検知 - 職員に怪我なし、記録が行方不明"
"news:EZIC_ATTACK1_NOGIFT","Head Minister Of Finance Missing!","金融庁長官 行方不明！"
"news:EZIC_ATTACK1_NOGIFT","Markets React With Fast Selling, Instability","速いペースで売りの動き 市場の不安定化"
"news:POISONING","Mysterious Poison Hospitalizes Several!","奇怪な毒物 数名が病院搬送！"
"news:POISONING","Unnamed Immigrant Smuggles Deadly Agent","謎の移民による致死薬品の密輸があった模様"
"news:MARKED_DIPLOMAT","Top-Level Talks Called","トップ会談 開催へ"
"news:MARKED_DIPLOMAT","Grestin Territory Remains Dividing Issue","グレスティン国境問題未だ残る"
"news:DIPLOMAT_SWAPPED","Kolechians Are Crazy","コレチア人、狂う"
"news:DIPLOMAT_SWAPPED","Bizarre Behavior From Top Negotiator Spoils Talks","上級外交官の突飛な行動で交渉決裂"
"news:DIPLOMAT_ORIGINAL","A Tentative Understanding","暫定的な合意"
"news:DIPLOMAT_ORIGINAL","Kolechian Talks Establish Common Ground","コレチア外交官 共通認識を確立"
"news:TALKS_BREAK_DOWN","Roadblock To Kolechian Resolution","コレチアとの決議 立ちはだかる壁"
"news:TALKS_BREAK_DOWN","Contested City Drives Wedge","争点となる街 意見の不一致招く"
"news:BORDER_CLOSING","Grestin Checkpoint Future Uncertain","グレスティン国境検問所の今後未定"
"news:BORDER_CLOSING","Too Open, Too Soon?","ゆる過ぎたのか 急ぎ過ぎたのか"
"text:language_code","en","ja"
"text:language_name","ENGLISH","日本語"
"text:language_author","Author","PLAYISM"
"text:wrap_hyphen","-","NONE"
"text:created_by","created by Lucas Pope","created by Lucas Pope"
"text:papers_please","Papers, please.","書類の提示をお願いします。"
"text:protocol_violated","Protocol Violated.","規定違反。"
"text:unauth_confiscation","Unauthorized passport confiscation","無認可のパスポート押収。"
"text:missing_reason","Denial reason not given","拒否事由の欠落。"
"text:citation_warning","WARNING ISSUED - NO PENALTY","通告 - 罰金なし"
"text:citation_lastwarning","LAST WARNING - NO PENALTY","最終通告 - 罰金なし"
"text:citation_penalty","PENALTY ASSESSED - $0 CREDITS","罰金 - $0クレジット"
"text:border_next","NEXT!","次！"
"text:border_bomber","FOR KOLECHIA!","コレチア万歳！"
"text:border_comeback","COME BACK AT 6AM TOMORROW","明日午前６時にまたお越し下さい。"
"text:border_announce0","ENTRY IS NOT GUARANTEED","入国の保証はありません。"
"text:border_announce1","HAVE YOUR DOCUMENTS READY","必要書類をご準備下さい。"
"text:border_announce2","ARSTOTZKA WELCOMES YOU","ようこそ、アルストツカへ。"
"text:border_guardout","OUT!","出ろ！"
"text:border_elisa","ELISA!","ELISA!"
"text:family_son_budget","SON","息子"
"text:family_wife_budget","WIFE","妻"
"text:family_niece_budget","NIECE","姪"
"text:family_uncle_budget","UNCLE","叔父"
"text:family_mil_budget","MIL","義母"
"text:family_son_status","Son","息子"
"text:family_wife_status","Wife","妻"
"text:family_niece_status","Niece","姪"
"text:family_uncle_status","Uncle","叔父"
"text:family_mil_status","Mother-in-law","義母"
"text:family_son_message","son","息子"
"text:family_wife_message","wife","妻"
"text:family_niece_message","niece","姪"
"text:family_uncle_message","uncle","叔父"
"text:family_mil_message","mother-in-law","義母"
"text:night_endof","END OF","報告"
"text:night_day","DAY $0","第$0日目"
"text:family_verysick_1","Your $0 will die without medicine.","薬がなければ$0が死んでしまう。"
"text:family_verysick_many","Very sick family members will die without medicine.","家族が重症だ。薬がなければ死んでしまう。"
"text:family_sick_1","Your $0 is sick and needs medicine.","病気の$0が薬を必要としている。"
"text:family_sick_many","Your family needs medicine.","家族が薬を必要としている。"
"text:family_died_1","Your $0 has died.","$0が死んだ。"
"text:family_died_2","Your $0 and $1 have died.","$0と$1が死んだ。"
"text:family_died_3","Your $0, $1, and $2 have died.","$0、$1、$2が死んだ。"
"text:family_died_4","Your $0, $1, $2, and $3 have died.","$0、$1、$2、$3が死んだ。"
"text:family_died_5","Your $0, $1, $2, $3, and $4 have died.","$0、$1、$2、$3、$4が死んだ。"
"text:family_escape_with_0","You leave behind everything.","あなたはすべてを置き去りにし逃げた。"
"text:family_escape_with_1","You gather your $0 to leave for Obristan.","オブリスタンへ逃げるため、$0を呼んだ。"
"text:family_escape_with_2","You gather your $0 and $1 to leave for Obristan.","オブリスタンへ逃げるため、$0と$1を呼んだ。"
"text:family_escape_with_3","You gather your $0, $1, and $2 to leave for Obristan.","オブリスタンへ逃げるため、$0、$1、$2を呼んだ。"
"text:family_escape_with_4","You gather your $0, $1, $2, and $3 to leave for Obristan.","オブリスタンへ逃げるため、$0、$1、$2、$3を呼んだ。"
"text:family_escape_with_5","You gather your $0, $1, $2, $3, and $4 to leave for Obristan.","オブリスタンへ逃げるため、$0、$1、$2、$3、$4を呼んだ。"
"text:family_escape_without_1","Your $0 prepares to return to Nirsk.","$0はニルスクへ戻る準備をする。"
"text:family_escape_without_2","Your $0 and $1 prepare to return to Nirsk.","$0と$1はニルスクへ戻る準備をする。"
"text:family_escape_without_3","Your $0, $1, and $2 prepare to return to Nirsk.","$0、$1、$2はニルスクへ戻る準備をする。"
"text:family_escape_without_4","Your $0, $1, $2, and $3 prepare to return to Nirsk.","$0、$1、$2、$3はニルスクへ戻る準備をする。"
"text:family_escape_without_5","Your $0, $1, $2, $3, and $4 prepare to return to Nirsk.","$0、$1、$2、$3、$4はニルスクへ戻る準備をする。"
"text:family_flee_final_0","Obristan Above All","オブリスタン万歳"
"text:family_flee_final_1","The safety of your $0 is unknown.","$0の安否は不明。"
"text:family_flee_final_2","The safety of your $0 and $1 is unknown.","$0と$1の安否は不明。"
"text:family_flee_final_3","The safety of your $0, $1, and $2 is unknown.","$0、$1、$2の安否は不明。"
"text:family_flee_final_4","The safety of your $0, $1, $2, and $3 is unknown.","$0、$1、$2、$3の安否は不明。"
"text:family_flee_final_5","The safety of your $0, $1, $2, $3, and $4 is unknown.","$0、$1、$2、$3、$4の安否は不明。"
"text:budget_savings","SAVINGS","貯金"
"text:budget_salary","SALARY ($0)","給料 ($0)"
"text:budget_penalties","PENALTIES ($0)","罰金 ($0)"
"text:budget_bribes","BRIBES","賄賂"
"text:budget_rent","RENT","家賃"
"text:budget_food","FOOD","食料"
"text:budget_heat","HEAT","暖房費"
"text:budget_medicine","MEDICINE ($0)","薬 ($0)"
"text:budget_sleep","SLEEP","就寝"
"text:budget_escape","ESCAPE","逃亡"
"text:menu_back","BACK","戻る"
"text:confirm_ok","OKAY","OK"
"text:confirm_cancel","CANCEL","キャンセル"
"text:menu_mainmenu","MAIN MENU","メインメニュー"
"text:menu_resume","RESUME","再開"
"text:menu_quit","QUIT","終了"
"text:menu_done","DONE","終了"
"text:menu_story","STORY","STORY"
"text:menu_endless","ENDLESS","ENDLESS"
"text:menu_play","PLAY","PLAY"
"text:menu_fullscreen","Fullscreen","フルスクリーン"
"text:menu_nudity","Nudity","ヌード"
"text:menu_easy","Easy Mode","イージーモード"
"text:menu_music","Music","音楽"
"text:menu_sound","Sound","サウンド"
"text:menu_dateformat","Date Format","日付表示形式"
"text:menu_language","Language","言語"
"text:menu_easytip","+ 20 credits per day","+20クレジット/日"
"text:menu_stats","STATS","成績"
"text:menu_next","NEXT","次へ"
"text:menu_walktowork","WALK TO WORK","出勤する"
"text:menu_paused","PAUSED","PAUSED"
"text:menu_settings","SETTINGS","SETTINGS"
"text:menu_credits","CREDITS","CREDITS"
"text:menu_checkforupdates","CHECK FOR UPDATES","CHECK FOR UPDATES"
"text:stats_text","Played for $time
$processed travelers processed
$approved approved
$denied denied
$detained detained
$citations citations earned
$stamps stamps applied
Ending $endnum of $endtotal","プレイ時間 $time
処理旅行者　$processed
許可数　$approved
拒否数　$denied
拘束数　$detained
通告数　$citations
総押印数　$stamps
エンディング　$endtotal種類中 $endnum番"
"text:steam_noinit","STEAM CONNECTION FAILED

If this problem persists, re-install the Steam client.","STEAMとの接続に失敗しました。

この問題が再発した場合、Steamクライアントを再インストールして下さい。"
"text:steam_restartfailed","STEAM RESTART FAILED

If this problem persists, re-install the Steam client.","STEAMの再起動に失敗しました。

この問題が再発した場合、Steamクライアントを再インストールして下さい。"
"text:steam_noconnect","STEAM CONNECTION FAILED

The game will attempt to restart through the Steam client.","STEAMとの接続に失敗しました。

Steamクライアントから再起動を試みます。"
"text:steam_restart","RESTART","再起動"
"text:load_title","Select day to continue or start a new game","ロードする日付またはNewを選択して下さい。"
"text:load_confirm_delete_single","Delete this day $0 save?

There is no undo.","第$0日目のデータを消去しますか？

復元はできません。"
"text:load_confirm_delete_multi","Delete this save branch from day $0 to day $1?

There is no undo.","第$0日目から第$1日目までまとめて消去しますか？

復元はできません。"
"text:load_delete","DELETE","消去"
"text:load_confirm_full","Save tracks full.

Continue from a right-most save or delete a save branch to free up a track.","セーブデータがいっぱいです。

一番右のセーブデータから再開するか、分岐を消去しデータを解放して下さい。"
"text:load_summary","Day $day
""$news""

$savings credits, $family family members,
$tokens tokens, apartment $apt","第$day日目
""$news""

$savingsクレジット、$family人家族、
記念品 $tokens個、アパート $apt"
"text:load_continue","CONTINUE","ロード"
"text:emotion_happy","HAPPY","幸福"
"text:emotion_ok","OK","普通"
"text:emotion_sad","SAD","哀愁"
"text:emotion_cold","COLD","風邪"
"text:emotion_sick","SICK","病気"
"text:emotion_verysick","VERY SICK","重症"
"text:emotion_dead","DEAD","死亡"
"text:emotion_hungry","HUNGRY","空腹"
"text:load_latest","LATEST","最新"
"text:entry_approved","ENTRY GRANTED","入国許可"
"text:entry_denied","ENTRY DENIED","入国拒否"
"text:stamp_approved","APPROVED","許可"
"text:stamp_denied","DENIED","拒否"
"text:stamp_reason","REASON","事由"
"text:booth_dragdocs","DRAG DOCUMENTS HERE","ここに書類をドラッグ"
"text:booth_highlight","HIGHLIGHT DISCREPANCIES","エラー箇所を選択"
"text:booth_discrepancy","DISCREPANCY
DETECTED","エラー
検知"
